,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_max_depth,param_min_child_weight,param_num_class,param_objective,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
923,1.2093477249145508,0.03174009715588064,0.011295477549235025,0.0012434543007660242,0.04,9,2.5,2,multi:softmax,"{'eta': 0.04, 'max_depth': 9, 'min_child_weight': 2.5, 'num_class': 2, 'objective': 'multi:softmax'}",0.8372093023255814,0.85,0.8546511627906976,0.8472868217054264,0.007374533949783085,2084
924,1.1897492408752441,0.041386730902431224,0.011295239130655924,0.0012431356172755209,0.04,9,2.6,2,multi:softmax,"{'eta': 0.04, 'max_depth': 9, 'min_child_weight': 2.6, 'num_class': 2, 'objective': 'multi:softmax'}",0.8430232558139535,0.85,0.8593023255813953,0.8507751937984497,0.006668469199257809,634
925,1.186922550201416,0.022699110419590267,0.010799566904703775,0.00023124572931426603,0.04,9,2.7,2,multi:softmax,"{'eta': 0.04, 'max_depth': 9, 'min_child_weight': 2.7, 'num_class': 2, 'objective': 'multi:softmax'}",0.8406976744186047,0.8488372093023255,0.8569767441860465,0.8488372093023256,0.006645902402900098,1400
926,1.1811118125915527,0.02896589114929798,0.010963519414265951,1.1239159602905075e-07,0.04,9,2.8,2,multi:softmax,"{'eta': 0.04, 'max_depth': 9, 'min_child_weight': 2.8, 'num_class': 2, 'objective': 'multi:softmax'}",0.8406976744186047,0.8523255813953489,0.858139534883721,0.8503875968992248,0.007251274005375868,773
927,1.173138936360677,0.04107724282531426,0.011295557022094727,0.0004703589905164545,0.04,9,2.9,2,multi:softmax,"{'eta': 0.04, 'max_depth': 9, 'min_child_weight': 2.9, 'num_class': 2, 'objective': 'multi:softmax'}",0.8383720930232558,0.8476744186046512,0.8616279069767442,0.8492248062015504,0.009557231012355016,1243
928,0.23505806922912598,0.011368338940851144,0.006977160771687825,1.1239159602905075e-07,0.05,2,0.1,2,multi:softmax,"{'eta': 0.05, 'max_depth': 2, 'min_child_weight': 0.1, 'num_class': 2, 'objective': 'multi:softmax'}",0.8290697674418605,0.8430232558139535,0.8604651162790697,0.844186046511628,0.012843443043240994,2845
929,0.23805061976114908,0.007569661137678278,0.006976763407389323,0.0008137120815517025,0.05,2,0.2,2,multi:softmax,"{'eta': 0.05, 'max_depth': 2, 'min_child_weight': 0.2, 'num_class': 2, 'objective': 'multi:softmax'}",0.8290697674418605,0.8430232558139535,0.8604651162790697,0.844186046511628,0.012843443043240994,2845
930,0.2367236614227295,0.007471185543039569,0.006644407908121745,0.0004696283747867591,0.05,2,0.3,2,multi:softmax,"{'eta': 0.05, 'max_depth': 2, 'min_child_weight': 0.3, 'num_class': 2, 'objective': 'multi:softmax'}",0.8337209302325581,0.8430232558139535,0.8604651162790697,0.8457364341085271,0.011085542361298516,2574
931,0.2365605036417643,0.006921314474058377,0.006644725799560547,0.0009397061343988934,0.05,2,0.4,2,multi:softmax,"{'eta': 0.05, 'max_depth': 2, 'min_child_weight': 0.4, 'num_class': 2, 'objective': 'multi:softmax'}",0.8337209302325581,0.8430232558139535,0.8604651162790697,0.8457364341085271,0.011085542361298516,2574
932,0.24170668919881186,0.00816515419037518,0.0076414744059244795,0.0016943910441385406,0.05,2,0.5,2,multi:softmax,"{'eta': 0.05, 'max_depth': 2, 'min_child_weight': 0.5, 'num_class': 2, 'objective': 'multi:softmax'}",0.8313953488372093,0.8430232558139535,0.8604651162790697,0.8449612403100776,0.011946538765443725,2736
933,0.2378815015157064,0.015763655405781493,0.006977001825968425,0.0008139069124594181,0.05,2,0.6,2,multi:softmax,"{'eta': 0.05, 'max_depth': 2, 'min_child_weight': 0.6, 'num_class': 2, 'objective': 'multi:softmax'}",0.8337209302325581,0.8430232558139535,0.8604651162790697,0.8457364341085271,0.011085542361298516,2574
934,0.23855113983154297,0.005714706644762651,0.006643931070963542,0.00047097699321745057,0.05,2,0.7,2,multi:softmax,"{'eta': 0.05, 'max_depth': 2, 'min_child_weight': 0.7, 'num_class': 2, 'objective': 'multi:softmax'}",0.8337209302325581,0.8430232558139535,0.8604651162790697,0.8457364341085271,0.011085542361298516,2574
935,0.23937328656514487,0.011285747973751143,0.006644407908121745,0.0009397623352374925,0.05,2,0.8,2,multi:softmax,"{'eta': 0.05, 'max_depth': 2, 'min_child_weight': 0.8, 'num_class': 2, 'objective': 'multi:softmax'}",0.8313953488372093,0.8430232558139535,0.8604651162790697,0.8449612403100776,0.011946538765443725,2736
